Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Private Constructor,"com.carrotsearch.randomizedtesting.StandaloneRandomizedContext.StandaloneRandomizedContext",1,1,1,1
Public Static Method,"com.carrotsearch.randomizedtesting.StandaloneRandomizedContext.createRandomizedContext",1,1,1,1
Public Static Method,"com.carrotsearch.randomizedtesting.StandaloneRandomizedContext.disposeRandomizedContext",1,1,1,1
Public Static Method,"com.carrotsearch.randomizedtesting.StandaloneRandomizedContext.getSeed",1,1,1,1
Public Static Method,"com.carrotsearch.randomizedtesting.StandaloneRandomizedContext.getSeedAsString",1,1,1,1
Public Static Method,"com.carrotsearch.randomizedtesting.StandaloneRandomizedContext.popAndDestroy",1,1,1,1
Public Static Method,"com.carrotsearch.randomizedtesting.StandaloneRandomizedContext.pushRandomness",1,1,1,1
Constructor,"jsr166e.CompletableFuture.AcceptEither.AcceptEither",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AcceptEither.run",1,7,7,14
Abstract Method,"jsr166e.CompletableFuture.Action.accept",1,1,1,1
Constructor,"jsr166e.CompletableFuture.AltResult.AltResult",1,1,1,1
Constructor,"jsr166e.CompletableFuture.AndCompletion.AndCompletion",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AndCompletion.run",1,4,4,10
Constructor,"jsr166e.CompletableFuture.ApplyToEither.ApplyToEither",1,1,1,1
Public Method,"jsr166e.CompletableFuture.ApplyToEither.run",1,7,7,14
Public Method,"jsr166e.CompletableFuture.Async.getRawResult",1,1,1,1
Public Method,"jsr166e.CompletableFuture.Async.run",1,1,1,1
Public Method,"jsr166e.CompletableFuture.Async.setRawResult",1,1,1,1
Constructor,"jsr166e.CompletableFuture.AsyncAccept.AsyncAccept",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AsyncAccept.exec",1,3,3,4
Constructor,"jsr166e.CompletableFuture.AsyncAcceptBoth.AsyncAcceptBoth",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AsyncAcceptBoth.exec",1,3,3,4
Constructor,"jsr166e.CompletableFuture.AsyncApply.AsyncApply",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AsyncApply.exec",1,3,3,4
Constructor,"jsr166e.CompletableFuture.AsyncCombine.AsyncCombine",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AsyncCombine.exec",1,3,3,4
Constructor,"jsr166e.CompletableFuture.AsyncCompose.AsyncCompose",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AsyncCompose.exec",1,7,7,8
Constructor,"jsr166e.CompletableFuture.AsyncRun.AsyncRun",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AsyncRun.exec",1,3,3,4
Constructor,"jsr166e.CompletableFuture.AsyncSupply.AsyncSupply",1,1,1,1
Public Method,"jsr166e.CompletableFuture.AsyncSupply.exec",1,3,3,4
Abstract Method,"jsr166e.CompletableFuture.BiAction.accept",1,1,1,1
Abstract Method,"jsr166e.CompletableFuture.BiFun.apply",1,1,1,1
Public Constructor,"jsr166e.CompletableFuture.CompletableFuture",1,1,1,1
Constructor,"jsr166e.CompletableFuture.CompletionNode.CompletionNode",1,1,1,1
Constructor,"jsr166e.CompletableFuture.ExceptionCompletion.ExceptionCompletion",1,1,1,1
Public Method,"jsr166e.CompletableFuture.ExceptionCompletion.run",1,4,4,9
Abstract Method,"jsr166e.CompletableFuture.Fun.apply",1,1,1,1
Abstract Method,"jsr166e.CompletableFuture.Generator.get",1,1,1,1
Constructor,"jsr166e.CompletableFuture.HandleCompletion.HandleCompletion",1,1,1,1
Public Method,"jsr166e.CompletableFuture.HandleCompletion.run",1,4,4,8
Constructor,"jsr166e.CompletableFuture.OrCompletion.OrCompletion",1,1,1,1
Public Method,"jsr166e.CompletableFuture.OrCompletion.run",1,3,3,8
Constructor,"jsr166e.CompletableFuture.RunAfterBoth.RunAfterBoth",1,1,1,1
Public Method,"jsr166e.CompletableFuture.RunAfterBoth.run",1,8,8,16
Constructor,"jsr166e.CompletableFuture.RunAfterEither.RunAfterEither",1,1,1,1
Public Method,"jsr166e.CompletableFuture.RunAfterEither.run",1,7,7,14
Constructor,"jsr166e.CompletableFuture.ThenAccept.ThenAccept",1,1,1,1
Public Method,"jsr166e.CompletableFuture.ThenAccept.run",1,7,7,12
Constructor,"jsr166e.CompletableFuture.ThenAcceptBoth.ThenAcceptBoth",1,1,1,1
Public Method,"jsr166e.CompletableFuture.ThenAcceptBoth.run",1,9,9,16
Constructor,"jsr166e.CompletableFuture.ThenApply.ThenApply",1,1,1,1
Public Method,"jsr166e.CompletableFuture.ThenApply.run",1,7,7,12
Constructor,"jsr166e.CompletableFuture.ThenCombine.ThenCombine",1,1,1,1
Public Method,"jsr166e.CompletableFuture.ThenCombine.run",1,9,9,16
Constructor,"jsr166e.CompletableFuture.ThenCompose.ThenCompose",1,1,1,1
Public Method,"jsr166e.CompletableFuture.ThenCompose.run",6,15,15,22
