Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\CompletableFuture.java",514,4,16,,,,132,,,,10
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\CompletionException.java",4,1,1,,,,4,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\ConcurrentHashMapV8.java",1067,3,33,,,,308,,,,15
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\CountedCompleter.java",48,2,5,,,,25,,,,5
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\DoubleAdder.java",21,2,4,,,,13,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\DoubleMaxUpdater.java",23,2,5,,,,13,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\ForkJoinPool.java",451,4,26,,,,102,,,,20
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\ForkJoinTask.java",219,3,22,,,,81,,,,9
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\ForkJoinWorkerThread.java",9,2,4,,,,6,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\LongAdder.java",23,2,4,,,,15,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\LongAdderTable.java",22,1,2,,,,16,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\LongMaxUpdater.java",23,2,5,,,,13,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\RecursiveAction.java",4,1,1,,,,4,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\RecursiveTask.java",4,1,1,,,,4,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\StampedLock.java",274,5,53,,,,53,,,,36
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\Striped64.java",38,3,19,,,,12,,,,15
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\extra\AtomicDouble.java",29,2,3,,,,19,,,,3
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\extra\AtomicDoubleArray.java",37,2,4,,,,20,,,,4
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\extra\ReadMostlyVector.java",304,2,10,,,,129,,,,7
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166e\extra\SequenceLock.java",51,1,4,,,,35,,,,4
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166y\ConcurrentLinkedDeque.java",208,3,19,,,,77,,,,14
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166y\CountedCompleter.java",48,2,5,,,,25,,,,5
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166y\ForkJoinPool.java",462,5,28,,,,100,,,,19
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\jsr166y\ForkJoinTask.java",205,3,19,,,,76,,,,9
