Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Protected Constructor,"com.hazelcast.ascii.AbstractTextCommand.AbstractTextCommand",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.getRequestId",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.getSocketTextReader",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.getSocketTextWriter",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.getType",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.init",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.isUrgent",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.shouldReply",1,1,1,1
Public Method,"com.hazelcast.ascii.AbstractTextCommand.toString",1,1,1,1
Protected Constructor,"com.hazelcast.ascii.AbstractTextCommandProcessor.AbstractTextCommandProcessor",1,1,1,1
Abstract Method,"com.hazelcast.ascii.CommandParser.parser",1,1,1,1
Public Method,"com.hazelcast.ascii.MemcacheTest.getMemcacheClient",1,1,1,1
Public Static Method,"com.hazelcast.ascii.MemcacheTest.killAllHazelcastInstances",1,1,1,1
Public Method,"com.hazelcast.ascii.MemcacheTest.testIncrementAndDecrement",1,7,7,7
Public Method,"com.hazelcast.ascii.MemcacheTest.testMemcacheAppendPrepend",1,5,5,5
Public Method,"com.hazelcast.ascii.MemcacheTest.testMemcacheSimple",1,16,16,16
Public Method,"com.hazelcast.ascii.MemcacheTest.testMemcacheTTL",1,1,1,1
Public Method,"com.hazelcast.ascii.MemcacheTest.testMemcacheWithIMap",1,5,5,5
Public Method,"com.hazelcast.ascii.MemcacheTest.testQuit",1,1,1,1
Public Constructor,"com.hazelcast.ascii.NoOpCommand.NoOpCommand",1,1,1,1
Public Method,"com.hazelcast.ascii.NoOpCommand.readFrom",1,1,1,1
Public Method,"com.hazelcast.ascii.NoOpCommand.toString",1,1,1,1
Public Method,"com.hazelcast.ascii.NoOpCommand.writeTo",1,2,2,3
Public Constructor,"com.hazelcast.ascii.NoOpCommandProcessor.NoOpCommandProcessor",1,1,1,1
Public Method,"com.hazelcast.ascii.NoOpCommandProcessor.handle",1,1,1,1
Public Method,"com.hazelcast.ascii.NoOpCommandProcessor.handleRejection",1,1,1,1
Constructor,"com.hazelcast.ascii.RestTest.HTTPCommunicator.HTTPCommunicator",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.delete",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.deleteAll",1,1,1,1
Private Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.doGet",1,3,3,3
Public Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.get",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.offer",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.poll",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.put",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.HTTPCommunicator.size",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.killAllHazelcastInstances",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.testQueueSizeEmpty",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.testQueueSizeNonEmpty",1,2,2,2
Public Method,"com.hazelcast.ascii.RestTest.testRestSimple",1,10,10,10
Public Method,"com.hazelcast.ascii.RestTest.testTtl_issue1783",1,1,1,1
Public Method,"com.hazelcast.ascii.RestTest.testTtl_issue1783.(Anon_1).entryEvicted",1,1,1,1
Abstract Method,"com.hazelcast.ascii.TextCommand.getRequestId",1,1,1,1
Abstract Method,"com.hazelcast.ascii.TextCommand.getSocketTextReader",1,1,1,1
Abstract Method,"com.hazelcast.ascii.TextCommand.getSocketTextWriter",1,1,1,1
Abstract Method,"com.hazelcast.ascii.TextCommand.getType",1,1,1,1
Abstract Method,"com.hazelcast.ascii.TextCommand.init",1,1,1,1
Abstract Method,"com.hazelcast.ascii.TextCommand.shouldReply",1,1,1,1
Constructor,"com.hazelcast.ascii.TextCommandConstants.TextCommandType.TextCommandType",1,1,1,1
