Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\hazelcast-3.3-EA\hazelcast-all\src\main\java\com\hazelcast\PlaceHolder.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\ClientImpl.java",4,1,1,,,,4,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\ClientOutOfMemoryHandler.java",14,2,3,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClient.java",61,1,5,,,,50,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientManagedContext.java",4,2,3,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientProxy.java",41,1,2,,,,39,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\LifecycleServiceImpl.java",14,2,4,,,,9,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\LoadBalancer.java",2,1,1,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientConfig.java",59,1,4,,,,52,,,,4
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientNetworkConfig.java",20,1,2,,,,19,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientProperties.java",16,1,4,,,,12,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientSecurityConfig.java",4,1,1,,,,4,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ProxyFactoryConfig.java",6,1,1,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\SocketOptions.java",10,1,1,,,,10,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\XmlClientConfigBuilder.java",94,4,12,,,,23,,,,5
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\connection\Authenticator.java",1,1,1,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\connection\ClientConnectionManager.java",5,1,1,,,,5,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\connection\Router.java",3,2,2,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\connection\nio\ClientAbstractIOSelector.java",26,2,11,,,,11,,,,6
