Kind,Name,CountLineCode,CountLineComment,CountLineBlank
File,"C:\f1\hazelcast-3.3-EA\hazelcast-all\src\main\java\com\hazelcast\PlaceHolder.java",3,18,2
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\ClientImpl.java",24,15,9
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\ClientOutOfMemoryHandler.java",51,18,11
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClient.java",382,25,57
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientManagedContext.java",24,15,7
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientProxy.java",199,15,44
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\LifecycleServiceImpl.java",75,15,16
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\LoadBalancer.java",8,34,5
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientConfig.java",255,105,71
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientNetworkConfig.java",88,71,36
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientProperties.java",71,18,24
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ClientSecurityConfig.java",18,15,9
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\ProxyFactoryConfig.java",23,15,10
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\SocketOptions.java",43,17,19
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\XmlClientConfigBuilder.java",328,15,34
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\config\package-info.java",1,18,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\connection\Authenticator.java",7,15,5
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\connection\ClientConnectionManager.java",10,15,8
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\connection\Router.java",18,19,6
