Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Public Method,"com.nostra13.example.universalimageloader.BaseActivity.onCreateOptionsMenu",1,1,1,1
Protected Method,"com.nostra13.example.universalimageloader.BaseActivity.onDestroy",1,2,2,2
Public Method,"com.nostra13.example.universalimageloader.BaseActivity.onOptionsItemSelected",1,3,2,3
Public Method,"com.nostra13.example.universalimageloader.BaseActivity.onSaveInstanceState",1,1,1,1
Private Constructor,"com.nostra13.example.universalimageloader.Constants.Constants",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onCreate",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImageGalleryClick",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImageGridClick",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImageListClick",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImagePagerClick",1,1,1,1
Constructor,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.ImagePagerAdapter",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getCount",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getItem",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getItemId",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getView",1,2,2,2
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.onCreate",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getCount",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getItem",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getItemId",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getView",1,2,2,2
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.onCreate",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.onCreate.(Anon_1).onItemClick",1,1,1,1
Private Method,"com.nostra13.example.universalimageloader.ImageGridActivity.startImageGalleryActivity",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getCount",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getItem",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getItemId",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getView",1,2,2,2
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.onCreate",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.onCreate.(Anon_1).onItemClick",1,1,1,1
Private Method,"com.nostra13.example.universalimageloader.ImageListActivity.startImageGalleryActivity",1,1,1,1
Constructor,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.ImagePagerAdapter",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.destroyItem",1,3,3,3
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.finishUpdate",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.getCount",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem.(Anon_1).onLoadingComplete",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem.(Anon_1).onLoadingFailed",1,4,2,4
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem.(Anon_1).onLoadingStarted",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.isViewFromObject",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.restoreState",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.saveState",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.startUpdate",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.onCreate",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.UILApplication.onCreate",1,1,1,1
Public Constructor,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.ExtendedImageDownloader",1,1,1,1
Private Method,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.getStreamFromAssets",1,1,1,1
Private Method,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.getStreamFromDrawable",1,1,1,1
Protected Method,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.getStreamFromOtherSource",3,3,3,3
Public Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.onUpdate",1,2,2,2
Static Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget.(Anon_1).onLoadingComplete",1,1,1,1
Public Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget.(Anon_2).onLoadingComplete",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.BaseDiscCache",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.BaseDiscCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.clear",1,3,3,3
Public Method,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.get",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.getCacheDir",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.disc.DiscCacheAware.clear",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.disc.DiscCacheAware.get",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.disc.DiscCacheAware.put",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.LimitedDiscCache",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.LimitedDiscCache",1,1,1,1
Private Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.calculateCacheSizeAndFillUsageMap",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.clear",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.get",1,1,1,1
Protected Abstract Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.getSize",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.put",3,3,3,3
Private Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.removeNext",1,6,6,6
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.FileCountLimitedDiscCache.FileCountLimitedDiscCache",1,1,1,1
