Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\BaseDiscCache.java",7,1,3,,,,5,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\DiscCacheAware.java",3,1,1,,,,3,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\LimitedDiscCache.java",16,2,6,,,,8,,,,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\FileCountLimitedDiscCache.java",3,1,1,,,,3,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\LimitedAgeDiscCache.java",9,2,4,,,,5,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\TotalSizeLimitedDiscCache.java",4,1,2,,,,3,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\UnlimitedDiscCache.java",3,1,1,,,,3,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\naming\FileNameGenerator.java",1,1,1,,,,1,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\naming\HashCodeFileNameGenerator.java",1,1,1,,,,1,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\naming\Md5FileNameGenerator.java",3,2,2,,,,2,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\BaseMemoryCache.java",7,1,2,,,,6,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\LimitedMemoryCache.java",13,2,4,,,,7,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\MemoryCacheAware.java",5,1,1,,,,5,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\FIFOLimitedMemoryCache.java",9,1,2,,,,7,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\FuzzyKeyMemoryCache.java",8,1,3,,,,6,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\LRULimitedMemoryCache.java",10,1,2,,,,8,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\LargestLimitedMemoryCache.java",12,2,4,,,,7,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\LimitedAgeMemoryCache.java",8,1,2,,,,6,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\UsingFreqLimitedMemoryCache.java",15,2,4,,,,8,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\WeakMemoryCache.java",1,1,1,,,,1,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java",8,2,3,,,,5,,,,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\DisplayBitmapTask.java",7,2,4,,,,4,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\DisplayImageOptions.java",25,1,1,,,,25,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageDecoder.java",20,3,8,,,,7,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageLoader.java",60,2,12,,,,26,,,,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java",42,2,6,,,,22,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageLoadingInfo.java",1,1,1,,,,1,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\LoadAndDisplayImageTask.java",53,5,20,,,,11,,,,12
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\FailReason.java",2,0,1,,,,2,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\FlushedInputStream.java",5,3,4,,,,2,,,,4
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ImageLoadingListener.java",4,1,1,,,,4,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ImageScaleType.java",2,0,1,,,,2,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ImageSize.java",4,1,1,,,,4,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\MemoryCacheUtil.java",14,2,4,,,,7,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\PauseOnScrollListener.java",11,3,7,,,,4,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\QueueProcessingType.java",2,0,1,,,,2,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\SimpleImageLoadingListener.java",4,1,1,,,,4,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ViewScaleType.java",11,9,9,,,,3,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\BlockingDeque.java",29,1,1,,,,29,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\Deque.java",27,1,1,,,,27,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\LIFOLinkedBlockingDeque.java",2,1,1,,,,2,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\LinkedBlockingDeque.java",142,2,5,,,,69,,,,5
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\BitmapDisplayer.java",1,1,1,,,,1,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\FadeInBitmapDisplayer.java",2,1,1,,,,2,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\FakeBitmapDisplayer.java",1,1,1,,,,1,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\RoundedBitmapDisplayer.java",4,1,2,,,,3,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\SimpleBitmapDisplayer.java",1,1,1,,,,1,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\download\HttpClientImageDownloader.java",2,1,1,,,,2,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\download\ImageDownloader.java",6,2,3,,,,4,,,,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\download\URLConnectionImageDownloader.java",3,1,1,,,,3,,,,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\utils\FileUtils.java",4,2,3,,,,2,,,,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\utils\L.java",11,1,4,,,,8,,,,1
