Kind,Name,CountLineCode,CountLineComment,CountLineBlank
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\BaseDiscCache.java",32,7,10
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\DiscCacheAware.java",7,16,5
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\LimitedDiscCache.java",86,28,19
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\FileCountLimitedDiscCache.java",17,25,6
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\LimitedAgeDiscCache.java",47,23,10
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\TotalSizeLimitedDiscCache.java",23,25,7
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\impl\UnlimitedDiscCache.java",17,17,5
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\naming\FileNameGenerator.java",4,6,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\naming\HashCodeFileNameGenerator.java",7,5,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\disc\naming\Md5FileNameGenerator.java",26,6,6
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\BaseMemoryCache.java",36,8,9
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\LimitedMemoryCache.java",58,18,15
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\MemoryCacheAware.java",9,15,7
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\FIFOLimitedMemoryCache.java",48,6,12
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\FuzzyKeyMemoryCache.java",41,9,11
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\LRULimitedMemoryCache.java",63,8,14
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\LargestLimitedMemoryCache.java",68,12,12
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\LimitedAgeMemoryCache.java",46,15,12
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\UsingFreqLimitedMemoryCache.java",79,13,13
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\cache\memory\impl\WeakMemoryCache.java",11,5,4
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java",49,10,9
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\DisplayBitmapTask.java",41,8,10
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\DisplayImageOptions.java",128,71,30
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageDecoder.java",125,50,25
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageLoader.java",251,190,47
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java",204,151,43
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\ImageLoadingInfo.java",25,8,6
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\LoadAndDisplayImageTask.java",258,23,39
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\FailReason.java",4,5,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\FlushedInputStream.java",26,6,4
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ImageLoadingListener.java",9,12,6
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ImageScaleType.java",15,48,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ImageSize.java",20,5,7
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\MemoryCacheUtil.java",55,28,11
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\PauseOnScrollListener.java",46,23,8
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\QueueProcessingType.java",4,5,1
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\SimpleImageLoadingListener.java",16,10,5
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\ViewScaleType.java",22,13,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\BlockingDeque.java",42,541,33
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\Deque.java",36,478,36
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\LIFOLinkedBlockingDeque.java",13,28,5
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\assist\deque\LinkedBlockingDeque.java",632,445,96
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\BitmapDisplayer.java",6,16,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\FadeInBitmapDisplayer.java",20,5,7
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\FakeBitmapDisplayer.java",11,9,3
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\RoundedBitmapDisplayer.java",43,7,11
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\display\SimpleBitmapDisplayer.java",10,5,2
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\download\HttpClientImageDownloader.java",23,0,6
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\download\ImageDownloader.java",29,13,9
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\core\download\URLConnectionImageDownloader.java",27,9,8
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\utils\FileUtils.java",19,6,5
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\utils\L.java",40,5,13
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\library\src\com\nostra13\universalimageloader\utils\StorageUtils.java",56,33,9
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\BaseActivity.java",39,3,9
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\Constants.java",85,80,4
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\HomeActivity.java",33,3,7
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\ImageGalleryActivity.java",60,3,15
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\ImageGridActivity.java",72,3,16
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\ImageListActivity.java",82,3,19
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\ImagePagerActivity.java",117,3,24
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\UILApplication.java",23,10,4
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\downloader\ExtendedImageDownloader.java",45,7,12
File,"C:\f1\Android-Universal-Image-Loader-1.7.0\sample\src\com\nostra13\example\universalimageloader\widget\UILWidgetProvider.java",52,9,9
Package,"com",0,0,0
Package,"com.nostra13",0,0,0
Package,"com.nostra13.example",0,0,0
Package,"com.nostra13.example.universalimageloader",511,108,98
Public Abstract Class,"com.nostra13.example.universalimageloader.BaseActivity",33,3,6
Public Method,"com.nostra13.example.universalimageloader.BaseActivity.onCreateOptionsMenu",4,0,0
Protected Method,"com.nostra13.example.universalimageloader.BaseActivity.onDestroy",6,0,0
Public Method,"com.nostra13.example.universalimageloader.BaseActivity.onOptionsItemSelected",12,0,0
Public Method,"com.nostra13.example.universalimageloader.BaseActivity.onSaveInstanceState",3,0,0
Public Class,"com.nostra13.example.universalimageloader.Constants",84,80,3
Private Constructor,"com.nostra13.example.universalimageloader.Constants.Constants",2,0,0
Public Static Class,"com.nostra13.example.universalimageloader.Constants.Extra",4,0,0
Public Class,"com.nostra13.example.universalimageloader.HomeActivity",26,3,4
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onCreate",4,0,0
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImageGalleryClick",5,0,0
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImageGridClick",5,0,0
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImageListClick",5,0,0
Public Method,"com.nostra13.example.universalimageloader.HomeActivity.onImagePagerClick",5,0,0
Public Class,"com.nostra13.example.universalimageloader.ImageGalleryActivity",48,3,12
Private Class,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter",29,0,6
Constructor,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.ImagePagerAdapter",4,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getCount",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getItem",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getItemId",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.ImagePagerAdapter.getView",8,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGalleryActivity.onCreate",17,0,3
Public Class,"com.nostra13.example.universalimageloader.ImageGridActivity",57,3,13
Public Class,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter",25,0,5
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getCount",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getItem",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getItemId",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.getView",10,0,2
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.onCreate",22,0,3
Class,"com.nostra13.example.universalimageloader.ImageGridActivity.onCreate.(Anon_1)",5,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageGridActivity.onCreate.(Anon_1).onItemClick",3,0,0
Private Method,"com.nostra13.example.universalimageloader.ImageGridActivity.startImageGalleryActivity",6,0,0
Public Class,"com.nostra13.example.universalimageloader.ImageListActivity",66,3,17
Class,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter",34,0,8
Private Class,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.ViewHolder",4,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getCount",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getItem",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getItemId",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.getView",15,0,3
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.onCreate",22,0,4
Class,"com.nostra13.example.universalimageloader.ImageListActivity.onCreate.(Anon_1)",5,0,0
Public Method,"com.nostra13.example.universalimageloader.ImageListActivity.onCreate.(Anon_1).onItemClick",3,0,0
Private Method,"com.nostra13.example.universalimageloader.ImageListActivity.startImageGalleryActivity",6,0,0
Public Class,"com.nostra13.example.universalimageloader.ImagePagerActivity",98,3,22
Private Class,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter",78,0,16
Constructor,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.ImagePagerAdapter",4,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.destroyItem",12,0,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.finishUpdate",2,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.getCount",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem",35,0,5
Class,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem.(Anon_1)",27,0,3
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem.(Anon_1).onLoadingComplete",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem.(Anon_1).onLoadingFailed",17,0,1
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.instantiateItem.(Anon_1).onLoadingStarted",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.isViewFromObject",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.restoreState",2,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.saveState",3,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter.startUpdate",2,0,0
Public Method,"com.nostra13.example.universalimageloader.ImagePagerActivity.onCreate",18,0,3
Public Class,"com.nostra13.example.universalimageloader.UILApplication",15,10,1
Public Method,"com.nostra13.example.universalimageloader.UILApplication.onCreate",13,7,1
Package,"com.nostra13.example.universalimageloader.downloader",45,7,12
Public Class,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader",34,7,8
Public Constructor,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.ExtendedImageDownloader",3,0,0
Private Method,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.getStreamFromAssets",4,1,0
Private Method,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.getStreamFromDrawable",9,1,1
Protected Method,"com.nostra13.example.universalimageloader.downloader.ExtendedImageDownloader.getStreamFromOtherSource",10,0,0
Package,"com.nostra13.example.universalimageloader.widget",52,9,9
Public Class,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider",37,9,6
Public Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.onUpdate",12,3,1
Static Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget",18,1,1
Class,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget.(Anon_1)",6,0,0
Public Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget.(Anon_1).onLoadingComplete",4,0,0
Class,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget.(Anon_2)",6,0,0
Public Method,"com.nostra13.example.universalimageloader.widget.UILWidgetProvider.updateAppWidget.(Anon_2).onLoadingComplete",4,0,0
Package,"com.nostra13.universalimageloader",0,0,0
Package,"com.nostra13.universalimageloader.cache",0,0,0
Package,"com.nostra13.universalimageloader.cache.disc",125,51,34
Public Abstract Class,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache",27,7,7
Public Constructor,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.BaseDiscCache",3,0,0
Public Constructor,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.BaseDiscCache",4,0,0
Public Method,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.clear",8,0,0
Public Method,"com.nostra13.universalimageloader.cache.disc.BaseDiscCache.get",4,0,0
