Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Public Constructor,"junit.extensions.ActiveTestSuite.ActiveTestSuite",1,1,1,1
Public Constructor,"junit.extensions.ActiveTestSuite.ActiveTestSuite",1,1,1,1
Public Constructor,"junit.extensions.ActiveTestSuite.ActiveTestSuite",1,1,1,1
Public Constructor,"junit.extensions.ActiveTestSuite.ActiveTestSuite",1,1,1,1
Public Method,"junit.extensions.ActiveTestSuite.run",1,1,1,1
Public Method,"junit.extensions.ActiveTestSuite.runFinished",1,1,1,1
Public Method,"junit.extensions.ActiveTestSuite.runTest",1,1,1,1
Public Method,"junit.extensions.ActiveTestSuite.runTest.(Anon_1).run",1,1,1,1
Method,"junit.extensions.ActiveTestSuite.waitUntilFinished",3,3,3,3
Public Constructor,"junit.extensions.RepeatedTest.RepeatedTest",1,2,2,2
Public Method,"junit.extensions.RepeatedTest.countTestCases",1,1,1,1
Public Method,"junit.extensions.RepeatedTest.run",3,3,3,3
Public Method,"junit.extensions.RepeatedTest.toString",1,1,1,1
Public Constructor,"junit.extensions.TestDecorator.TestDecorator",1,1,1,1
Public Method,"junit.extensions.TestDecorator.basicRun",1,1,1,1
Public Method,"junit.extensions.TestDecorator.countTestCases",1,1,1,1
Public Method,"junit.extensions.TestDecorator.getTest",1,1,1,1
Public Method,"junit.extensions.TestDecorator.run",1,1,1,1
Public Method,"junit.extensions.TestDecorator.toString",1,1,1,1
Public Constructor,"junit.extensions.TestSetup.TestSetup",1,1,1,1
Public Method,"junit.extensions.TestSetup.run",1,1,1,1
Public Method,"junit.extensions.TestSetup.run.(Anon_1).protect",1,1,1,1
Protected Method,"junit.extensions.TestSetup.setUp",1,1,1,1
Protected Method,"junit.extensions.TestSetup.tearDown",1,1,1,1
Protected Constructor,"junit.framework.Assert.Assert",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",3,4,4,6
Public Static Method,"junit.framework.Assert.assertEquals",3,3,3,5
Public Static Method,"junit.framework.Assert.assertEquals",1,3,3,3
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,3,3,3
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.assertFalse",1,1,1,1
Public Static Method,"junit.framework.Assert.assertFalse",1,1,1,1
Public Static Method,"junit.framework.Assert.assertNotNull",1,1,1,1
Public Static Method,"junit.framework.Assert.assertNotNull",1,1,1,1
Public Static Method,"junit.framework.Assert.assertNotSame",1,1,1,1
Public Static Method,"junit.framework.Assert.assertNotSame",1,2,2,2
Public Static Method,"junit.framework.Assert.assertNull",1,1,1,1
Public Static Method,"junit.framework.Assert.assertNull",1,1,1,1
Public Static Method,"junit.framework.Assert.assertSame",1,1,1,1
Public Static Method,"junit.framework.Assert.assertSame",1,2,2,2
Public Static Method,"junit.framework.Assert.assertTrue",1,1,1,1
Public Static Method,"junit.framework.Assert.assertTrue",1,2,2,2
Public Static Method,"junit.framework.Assert.fail",1,1,1,1
Public Static Method,"junit.framework.Assert.fail",1,2,2,2
Public Static Method,"junit.framework.Assert.failNotEquals",1,1,1,1
Public Static Method,"junit.framework.Assert.failNotSame",1,2,2,2
Public Static Method,"junit.framework.Assert.failSame",1,2,2,2
Public Static Method,"junit.framework.Assert.format",1,2,2,3
Public Constructor,"junit.framework.AssertionFailedError.AssertionFailedError",1,1,1,1
Public Constructor,"junit.framework.AssertionFailedError.AssertionFailedError",1,1,1,1
Public Constructor,"junit.framework.ComparisonCompactor.ComparisonCompactor",1,1,1,1
Private Method,"junit.framework.ComparisonCompactor.areStringsEqual",1,1,1,1
Public Method,"junit.framework.ComparisonCompactor.compact",1,2,2,4
Private Method,"junit.framework.ComparisonCompactor.compactString",1,3,3,3
Private Method,"junit.framework.ComparisonCompactor.computeCommonPrefix",1,2,2,2
Private Method,"junit.framework.ComparisonCompactor.computeCommonSuffix",1,2,2,2
Private Method,"junit.framework.ComparisonCompactor.findCommonPrefix",3,3,3,3
Private Method,"junit.framework.ComparisonCompactor.findCommonSuffix",3,3,3,4
Public Constructor,"junit.framework.ComparisonFailure.ComparisonFailure",1,1,1,1
Public Method,"junit.framework.ComparisonFailure.getActual",1,1,1,1
Public Method,"junit.framework.ComparisonFailure.getExpected",1,1,1,1
Public Method,"junit.framework.ComparisonFailure.getMessage",1,1,1,1
Public Constructor,"junit.framework.JUnit4TestAdapter.JUnit4TestAdapter",1,1,1,1
Public Constructor,"junit.framework.JUnit4TestAdapter.JUnit4TestAdapter",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapter.countTestCases",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapter.filter",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapter.getDescription",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapter.getTestClass",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapter.getTests",1,1,1,1
Private Method,"junit.framework.JUnit4TestAdapter.isIgnored",1,1,1,1
Private Method,"junit.framework.JUnit4TestAdapter.removeIgnored",1,4,4,4
Public Method,"junit.framework.JUnit4TestAdapter.run",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapter.sort",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapter.toString",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapterCache.asTest",1,3,3,3
Public Method,"junit.framework.JUnit4TestAdapterCache.asTestList",1,3,3,3
Method,"junit.framework.JUnit4TestAdapterCache.createTest",1,3,3,3
Public Static Method,"junit.framework.JUnit4TestAdapterCache.getDefault",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapterCache.getNotifier",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapterCache.getNotifier.(Anon_1).testFailure",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapterCache.getNotifier.(Anon_1).testFinished",1,1,1,1
Public Method,"junit.framework.JUnit4TestAdapterCache.getNotifier.(Anon_1).testStarted",1,1,1,1
Constructor,"junit.framework.JUnit4TestCaseFacade.JUnit4TestCaseFacade",1,1,1,1
Public Method,"junit.framework.JUnit4TestCaseFacade.countTestCases",1,1,1,1
Public Method,"junit.framework.JUnit4TestCaseFacade.getDescription",1,1,1,1
Public Method,"junit.framework.JUnit4TestCaseFacade.run",1,1,1,1
Public Method,"junit.framework.JUnit4TestCaseFacade.toString",1,1,1,1
Public Abstract Method,"junit.framework.Protectable.protect",1,1,1,1
Public Abstract Method,"junit.framework.Test.countTestCases",1,1,1,1
Public Abstract Method,"junit.framework.Test.run",1,1,1,1
Public Constructor,"junit.framework.TestCase.TestCase",1,1,1,1
Public Constructor,"junit.framework.TestCase.TestCase",1,1,1,1
Public Method,"junit.framework.TestCase.countTestCases",1,1,1,1
Protected Method,"junit.framework.TestCase.createResult",1,1,1,1
Public Method,"junit.framework.TestCase.getName",1,1,1,1
