Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\JUnit\src\main\java\junit\extensions\ActiveTestSuite.java",11,1,3,,,,9,,,,3
File,"C:\f1\JUnit\src\main\java\junit\extensions\RepeatedTest.java",7,2,3,,,,4,,,,3
File,"C:\f1\JUnit\src\main\java\junit\extensions\TestDecorator.java",6,1,1,,,,6,,,,1
File,"C:\f1\JUnit\src\main\java\junit\extensions\TestSetup.java",5,1,1,,,,5,,,,1
File,"C:\f1\JUnit\src\main\java\junit\extensions\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\junit\framework\Assert.java",55,1,4,,,,39,,,,3
File,"C:\f1\JUnit\src\main\java\junit\framework\AssertionFailedError.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\ComparisonCompactor.java",17,2,3,,,,8,,,,3
File,"C:\f1\JUnit\src\main\java\junit\framework\ComparisonFailure.java",4,1,1,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\JUnit4TestAdapter.java",15,1,4,,,,12,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\JUnit4TestAdapterCache.java",14,2,3,,,,8,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\JUnit4TestCaseFacade.java",5,1,1,,,,5,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\Protectable.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\Test.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\TestCase.java",21,2,5,,,,13,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\TestFailure.java",7,1,1,,,,7,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\TestListener.java",4,1,1,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\TestResult.java",26,1,4,,,,19,,,,1
File,"C:\f1\JUnit\src\main\java\junit\framework\TestSuite.java",48,2,7,,,,27,,,,5
File,"C:\f1\JUnit\src\main\java\junit\framework\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\junit\runner\BaseTestRunner.java",57,2,10,,,,29,,,,9
File,"C:\f1\JUnit\src\main\java\junit\runner\TestRunListener.java",6,1,1,,,,6,,,,1
File,"C:\f1\JUnit\src\main\java\junit\runner\Version.java",3,1,1,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\junit\runner\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\junit\textui\ResultPrinter.java",23,1,4,,,,17,,,,1
File,"C:\f1\JUnit\src\main\java\junit\textui\TestRunner.java",30,2,9,,,,18,,,,3
File,"C:\f1\JUnit\src\main\java\junit\textui\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\After.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\AfterClass.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\Assert.java",66,1,5,,,,50,,,,3
File,"C:\f1\JUnit\src\main\java\org\junit\Assume.java",5,1,2,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\Before.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\BeforeClass.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\ClassRule.java",0,0,0,,,,0,,,,0
