Kind,Name,CountLineCode,CountLineComment,CountLineBlank
File,"C:\f1\JUnit\src\main\java\junit\extensions\ActiveTestSuite.java",52,9,10
File,"C:\f1\JUnit\src\main\java\junit\extensions\RepeatedTest.java",28,4,6
File,"C:\f1\JUnit\src\main\java\junit\extensions\TestDecorator.java",26,9,8
File,"C:\f1\JUnit\src\main\java\junit\extensions\TestSetup.java",24,12,6
File,"C:\f1\JUnit\src\main\java\junit\extensions\package-info.java",1,3,0
File,"C:\f1\JUnit\src\main\java\junit\framework\Assert.java",151,138,7
File,"C:\f1\JUnit\src\main\java\junit\framework\AssertionFailedError.java",9,3,4
File,"C:\f1\JUnit\src\main\java\junit\framework\ComparisonCompactor.java",60,0,12
File,"C:\f1\JUnit\src\main\java\junit\framework\ComparisonFailure.java",22,25,5
File,"C:\f1\JUnit\src\main\java\junit\framework\JUnit4TestAdapter.java",66,2,17
File,"C:\f1\JUnit\src\main\java\junit\framework\JUnit4TestAdapterCache.java",67,3,11
File,"C:\f1\JUnit\src\main\java\junit\framework\JUnit4TestCaseFacade.java",23,3,7
File,"C:\f1\JUnit\src\main\java\junit\framework\Protectable.java",4,8,2
File,"C:\f1\JUnit\src\main\java\junit\framework\Test.java",5,11,1
File,"C:\f1\JUnit\src\main\java\junit\framework\TestCase.java",81,128,4
File,"C:\f1\JUnit\src\main\java\junit\framework\TestFailure.java",36,17,5
File,"C:\f1\JUnit\src\main\java\junit\framework\TestListener.java",7,15,1
File,"C:\f1\JUnit\src\main\java\junit\framework\TestResult.java",100,63,7
File,"C:\f1\JUnit\src\main\java\junit\framework\TestSuite.java",173,104,32
File,"C:\f1\JUnit\src\main\java\junit\framework\package-info.java",1,3,0
File,"C:\f1\JUnit\src\main\java\junit\runner\BaseTestRunner.java",235,49,38
File,"C:\f1\JUnit\src\main\java\junit\runner\TestRunListener.java",11,7,1
File,"C:\f1\JUnit\src\main\java\junit\runner\Version.java",11,4,3
File,"C:\f1\JUnit\src\main\java\junit\runner\package-info.java",1,3,0
File,"C:\f1\JUnit\src\main\java\junit\textui\ResultPrinter.java",92,23,25
File,"C:\f1\JUnit\src\main\java\junit\textui\TestRunner.java",124,50,29
File,"C:\f1\JUnit\src\main\java\junit\textui\package-info.java",1,3,0
File,"C:\f1\JUnit\src\main\java\org\junit\After.java",9,27,4
File,"C:\f1\JUnit\src\main\java\org\junit\AfterClass.java",9,30,2
File,"C:\f1\JUnit\src\main\java\org\junit\Assert.java",225,507,51
File,"C:\f1\JUnit\src\main\java\org\junit\Assume.java",23,66,5
File,"C:\f1\JUnit\src\main\java\org\junit\Before.java",9,27,3
File,"C:\f1\JUnit\src\main\java\org\junit\BeforeClass.java",9,24,2
File,"C:\f1\JUnit\src\main\java\org\junit\ClassRule.java",9,49,2
File,"C:\f1\JUnit\src\main\java\org\junit\ComparisonFailure.java",81,41,16
File,"C:\f1\JUnit\src\main\java\org\junit\Ignore.java",10,27,2
File,"C:\f1\JUnit\src\main\java\org\junit\Rule.java",9,35,3
File,"C:\f1\JUnit\src\main\java\org\junit\Test.java",16,47,5
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\ParallelComputer.java",65,0,13
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\categories\Categories.java",117,54,21
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\categories\Category.java",7,30,6
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\max\CouldNotReadCoreException.java",7,6,2
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\max\MaxCore.java",100,52,19
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\max\MaxHistory.java",118,25,25
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\results\FailureList.java",23,3,5
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\results\PrintableResult.java",33,21,9
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\results\ResultMatchers.java",41,21,8
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\runners\Enclosed.java",8,20,3
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\DataPoint.java",6,0,3
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\DataPoints.java",6,0,3
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\ParameterSignature.java",71,3,16
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\ParameterSupplier.java",5,0,3
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\ParametersSuppliedBy.java",7,0,5
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\PotentialAssignment.java",25,0,6
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\Theories.java",165,5,29
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\Theory.java",7,3,2
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\internal\AllMembersSupplier.java",99,11,16
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\internal\Assignments.java",101,11,21
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\internal\ParameterizedAssertionError.java",38,3,8
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\suppliers\TestedOn.java",9,0,4
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\suppliers\TestedOnSupplier.java",18,0,5
File,"C:\f1\JUnit\src\main\java\org\junit\internal\ArrayComparisonFailure.java",36,14,9
File,"C:\f1\JUnit\src\main\java\org\junit\internal\AssumptionViolatedException.java",32,0,8
File,"C:\f1\JUnit\src\main\java\org\junit\internal\ComparisonCriteria.java",47,20,9
File,"C:\f1\JUnit\src\main\java\org\junit\internal\ExactComparisonCriteria.java",8,0,2
File,"C:\f1\JUnit\src\main\java\org\junit\internal\InexactComparisonCriteria.java",15,0,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\JUnitSystem.java",6,0,2
File,"C:\f1\JUnit\src\main\java\org\junit\internal\RealSystem.java",10,0,5
File,"C:\f1\JUnit\src\main\java\org\junit\internal\TextListener.java",73,7,18
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\AllDefaultPossibilitiesBuilder.java",43,3,11
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\AnnotatedBuilder.java",36,3,6
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\IgnoredBuilder.java",12,3,2
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\IgnoredClassRunner.java",18,3,5
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\JUnit3Builder.java",15,3,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\JUnit4Builder.java",10,3,2
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\NullBuilder.java",9,3,2
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\SuiteMethodBuilder.java",20,3,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\CombinableMatcher.java",26,0,8
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\Each.java",20,0,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\IsCollectionContaining.java",54,1,12
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\StringContains.java",20,5,6
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\SubstringMatcher.java",20,0,8
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\TypeSafeMatcher.java",34,15,11
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\ClassRequest.java",19,0,7
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\FilterRequest.java",26,12,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\SortingRequest.java",20,0,5
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\package-info.java",1,5,0
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\ClassRoadie.java",65,6,9
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\ErrorReportingRunner.java",50,0,10
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\FailedBefore.java",6,5,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\InitializationError.java",20,4,6
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\JUnit38ClassRunner.java",134,2,22
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\JUnit4ClassRunner.java",117,7,21
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\MethodRoadie.java",138,7,14
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\MethodValidator.java",72,5,14
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\SuiteMethod.java",24,13,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\TestClass.java",81,5,16
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\TestMethod.java",51,5,13
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\model\EachTestNotifier.java",38,3,10
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\model\MultipleFailureException.java",9,0,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\model\ReflectiveCallable.java",12,7,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\package-info.java",1,5,0
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\rules\RuleFieldValidator.java",57,21,14
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\ExpectException.java",31,3,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\Fail.java",12,0,5
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\FailOnTimeout.java",36,3,7
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\InvokeMethod.java",15,3,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\RunAfters.java",34,3,7
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\RunBefores.java",20,3,7
File,"C:\f1\JUnit\src\main\java\org\junit\matchers\JUnitMatchers.java",32,42,9
File,"C:\f1\JUnit\src\main\java\org\junit\matchers\package-info.java",1,8,0
File,"C:\f1\JUnit\src\main\java\org\junit\package-info.java",1,7,0
File,"C:\f1\JUnit\src\main\java\org\junit\rules\ErrorCollector.java",33,35,8
File,"C:\f1\JUnit\src\main\java\org\junit\rules\ExpectedException.java",70,51,15
File,"C:\f1\JUnit\src\main\java\org\junit\rules\ExternalResource.java",25,38,5
