Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Abstract Method,"gov.nasa.arc.mct.abbreviation.AbbreviationService.getAbbreviations",1,1,1,1
Abstract Method,"gov.nasa.arc.mct.abbreviation.Abbreviations.getAbbreviations",1,1,1,1
Abstract Method,"gov.nasa.arc.mct.abbreviation.Abbreviations.getPhrases",1,1,1,1
Abstract Method,"gov.nasa.arc.mct.abbreviation.Abbreviations.getValue",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImpl.activate",1,5,5,5
Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImpl.findFile",3,3,3,4
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImpl.getAbbreviations",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImplTest.getFindFileTests",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImplTest.init",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImplTest.testActivateGoodFile",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImplTest.testActivateNoFileProperty",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImplTest.testActivateNonexistentAbbreviationsFile",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationServiceImplTest.testFindFile",1,1,1,1
Protected Constructor,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationsImpl.AbbreviationsImpl",1,1,1,1
Protected Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationsImpl.addPhrase",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationsImpl.getAbbreviations",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationsImpl.getPhrases",1,1,1,1
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationsImpl.getValue",1,1,1,1
Public Constructor,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationsManager.AbbreviationsManager",1,2,2,2
Public Method,"gov.nasa.arc.mct.abbreviation.impl.AbbreviationsManager.AbbreviationsManager.(Anon_1).compare",1,1,1,1
