Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\BigLabels.java",2,2,2,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Compression.java",21,5,17,,,,4,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Enumeration.java",1,1,1,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\InvertedAxes.java",6,3,3,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\LogPlot.java",3,2,2,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\MissingPointModes.java",5,5,5,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\PointShapes.java",5,5,5,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\RotatedLabels.java",2,2,2,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScatterPlot.java",2,2,2,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScatterPlotUpdating.java",7,2,2,,,,4,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScatterPointShapes.java",2,2,2,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Scrolling.java",4,1,2,,,,3,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScrollingCompression.java",7,2,3,,,,4,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScrollingTimeOnY.java",3,1,1,,,,3,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\SmoothScrolling.java",4,1,2,,,,3,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Static.java",2,2,2,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\StressTest.java",8,3,4,,,,3,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\XYPlotFrame.java",10,1,1,,,,10,,,,1
