Kind,Name,CountLineCode,CountLineComment,CountLineBlank
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\BigLabels.java",40,0,8
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Compression.java",187,24,20
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Enumeration.java",43,21,8
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\InvertedAxes.java",114,24,15
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\LogPlot.java",47,28,9
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\MissingPointModes.java",66,22,10
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\PointShapes.java",59,0,8
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\RotatedLabels.java",39,21,8
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScatterPlot.java",35,21,8
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScatterPlotUpdating.java",73,21,11
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScatterPointShapes.java",43,0,8
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Scrolling.java",76,21,12
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScrollingCompression.java",95,21,13
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\ScrollingTimeOnY.java",74,21,12
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\SmoothScrolling.java",72,21,12
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\Static.java",34,21,8
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\StressTest.java",113,21,13
File,"C:\f1\mct-1.7b1\Plotter\src\examples\java\plotter\examples\XYPlotFrame.java",119,24,39
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\Axis.java",63,86,34
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\AxisLabel.java",13,35,7
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\Dataset.java",5,32,3
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\DateNumberFormat.java",30,33,13
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\DoubleData.java",312,160,53
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\ExpFormat.java",26,36,13
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\IntegerTickMarkCalculator.java",31,25,4
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\LinearTickMarkCalculator.java",119,32,13
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\LogTickMarkCalculator.java",46,28,10
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\MultiLineLabelUI.java",305,81,83
