Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Public Static Method,"examples.Bidi_Map.main",1,2,2,2
Public Static Method,"examples.Cache.main",1,2,2,2
Public Static Method,"examples.Compression.main",1,1,1,1
Public Constructor,"examples.Custom_Value.Person.Person",1,1,1,1
Public Method,"examples.Custom_Value.Person.equals",5,7,7,8
Public Method,"examples.Custom_Value.Person.getCity",1,1,1,1
Public Method,"examples.Custom_Value.Person.getName",1,1,1,1
Public Static Method,"examples.Custom_Value.main",1,1,1,1
Public Method,"examples.Custom_Value.main.CustomSerializer.deserialize",1,1,1,1
Public Method,"examples.Custom_Value.main.CustomSerializer.serialize",1,1,1,1
Protected Method,"examples.DBMakerExtend.ExtendedDBMaker.extendWrapStore",1,2,2,2
Method,"examples.DBMakerExtend.ExtendedDBMaker.loggingDisable",1,1,1,1
Public Static Method,"examples.DBMakerExtend.main",1,1,1,1
Public Static Method,"examples.Histogram.main",1,2,2,2
Public Method,"examples.Histogram.main.(Anon_1).run",4,4,4,4
Public Static Method,"examples.Huge_Insert.main",1,1,1,1
Public Method,"examples.Huge_Insert.main.(Anon_1).hasNext",1,1,1,1
Public Method,"examples.Huge_Insert.main.(Anon_1).next",1,1,1,1
Public Method,"examples.Huge_Insert.main.(Anon_1).remove",1,1,1,1
Public Method,"examples.Huge_Insert.main.(Anon_2).run",1,1,1,1
Public Static Method,"examples.Lazily_Loaded_Records.main",1,1,1,1
Public Static Method,"examples.Map_Size_Counter.main",1,1,1,1
Public Static Method,"examples.MultiMap.main",1,2,2,2
Public Static Method,"examples.Pump_InMemory_Import_Then_Save_To_Disk.main",1,2,2,2
Public Static Method,"examples.SQL_Auto_Incremental_Unique_Key.main",1,1,1,1
Public Static Method,"examples.Secondary_Key.main",1,1,1,1
Public Method,"examples.Secondary_Key.main.(Anon_1).run",1,1,1,1
Public Static Method,"examples.Secondary_Map.main",1,1,1,1
Public Method,"examples.Secondary_Map.main.(Anon_1).run",1,1,1,1
Public Static Method,"examples.Transactions.main",1,3,3,3
Public Static Method,"examples.Transactions2.main",1,1,1,1
Public Method,"examples.Transactions2.main.(Anon_1).tx",1,1,1,1
Public Static Method,"examples.TreeMap_Composite_Key.main",1,7,7,7
Public Static Method,"examples.TreeMap_Performance_Tunning.main",1,5,5,5
Public Static Method,"examples._HelloWorld.main",1,1,1,1
Public Static Method,"examples._TempMap.main",1,1,1,1
Public Constructor,"org.mapdb.AsyncWriteEngine.AsyncWriteEngine",1,1,1,1
Public Constructor,"org.mapdb.AsyncWriteEngine.AsyncWriteEngine",1,1,1,1
Public Constructor,"org.mapdb.AsyncWriteEngine.WriterRunnable.WriterRunnable",1,1,1,1
Public Method,"org.mapdb.AsyncWriteEngine.WriterRunnable.run",6,9,9,9
Protected Method,"org.mapdb.AsyncWriteEngine.checkState",1,3,3,3
Public Method,"org.mapdb.AsyncWriteEngine.clearCache",1,3,3,3
Public Method,"org.mapdb.AsyncWriteEngine.close",3,5,5,5
Public Method,"org.mapdb.AsyncWriteEngine.commit",1,4,4,4
Public Method,"org.mapdb.AsyncWriteEngine.compact",1,4,4,4
Public Generic Method,"org.mapdb.AsyncWriteEngine.compareAndSwap",1,3,3,5
Public Generic Method,"org.mapdb.AsyncWriteEngine.delete",1,1,1,1
Public Generic Method,"org.mapdb.AsyncWriteEngine.get",3,3,3,3
Public Method,"org.mapdb.AsyncWriteEngine.preallocate",1,2,2,2
Public Method,"org.mapdb.AsyncWriteEngine.preallocate",1,2,2,2
Protected Method,"org.mapdb.AsyncWriteEngine.preallocateRefill",1,2,2,2
Protected Method,"org.mapdb.AsyncWriteEngine.preallocateRollback",1,1,1,1
Public Generic Method,"org.mapdb.AsyncWriteEngine.put",1,1,1,1
Public Method,"org.mapdb.AsyncWriteEngine.rollback",1,4,4,4
Protected Method,"org.mapdb.AsyncWriteEngine.runWriter",6,12,12,13
Protected Method,"org.mapdb.AsyncWriteEngine.startThreads",1,2,2,2
Public Generic Method,"org.mapdb.AsyncWriteEngine.update",1,3,3,3
Public Method,"org.mapdb.AsyncWriteEngineTest.async_commit",1,3,3,3
Public Generic Method,"org.mapdb.AsyncWriteEngineTest.async_commit.(Anon_2).put",1,1,1,1
Public Generic Method,"org.mapdb.AsyncWriteEngineTest.async_commit.(Anon_2).update",1,1,1,1
Public Method,"org.mapdb.AsyncWriteEngineTest.concurrent_updates_test",1,4,4,4
Public Method,"org.mapdb.AsyncWriteEngineTest.concurrent_updates_test.(for_loop_1).(Anon_1).run",1,2,2,2
Public Method,"org.mapdb.AsyncWriteEngineTest.reopenStore",1,2,2,2
Public Method,"org.mapdb.AsyncWriteEngineTest.write_fetch_update_delete",1,1,1,1
Private Constructor,"org.mapdb.Atomic.Atomic",1,1,1,1
Public Constructor,"org.mapdb.Atomic.Boolean.Boolean",1,1,1,1
Public Method,"org.mapdb.Atomic.Boolean.compareAndSet",1,1,1,1
Public Method,"org.mapdb.Atomic.Boolean.get",1,1,1,1
Public Method,"org.mapdb.Atomic.Boolean.getAndSet",3,3,3,3
Public Method,"org.mapdb.Atomic.Boolean.set",1,1,1,1
Public Method,"org.mapdb.Atomic.Boolean.toString",1,1,1,1
Public Constructor,"org.mapdb.Atomic.Integer.Integer",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.addAndGet",3,3,3,3
Public Method,"org.mapdb.Atomic.Integer.compareAndSet",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.decrementAndGet",3,3,3,3
Public Method,"org.mapdb.Atomic.Integer.doubleValue",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.floatValue",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.get",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.getAndAdd",3,3,3,3
Public Method,"org.mapdb.Atomic.Integer.getAndDecrement",3,3,3,3
Public Method,"org.mapdb.Atomic.Integer.getAndIncrement",3,3,3,3
Public Method,"org.mapdb.Atomic.Integer.getAndSet",3,3,3,3
Public Method,"org.mapdb.Atomic.Integer.incrementAndGet",3,3,3,3
Public Method,"org.mapdb.Atomic.Integer.intValue",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.longValue",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.set",1,1,1,1
Public Method,"org.mapdb.Atomic.Integer.toString",1,1,1,1
Public Constructor,"org.mapdb.Atomic.Long.Long",1,1,1,1
Public Method,"org.mapdb.Atomic.Long.addAndGet",3,3,3,3
Public Method,"org.mapdb.Atomic.Long.compareAndSet",1,1,1,1
Public Method,"org.mapdb.Atomic.Long.decrementAndGet",3,3,3,3
Public Method,"org.mapdb.Atomic.Long.doubleValue",1,1,1,1
Public Method,"org.mapdb.Atomic.Long.floatValue",1,1,1,1
Public Method,"org.mapdb.Atomic.Long.get",1,1,1,1
Public Method,"org.mapdb.Atomic.Long.getAndAdd",3,3,3,3
Public Method,"org.mapdb.Atomic.Long.getAndDecrement",3,3,3,3
Public Method,"org.mapdb.Atomic.Long.getAndIncrement",3,3,3,3
