Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\AsyncWriteEngine.java",67,3,12,,,,21,,,,6
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Atomic.java",86,2,3,,,,51,,,,3
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\BTreeKeySerializer.java",129,5,17,,,,28,,,,10
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\BTreeMap.java",605,2,35,,,,256,,,,12
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Bind.java",53,2,5,,,,32,,,,5
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\CC.java",0,0,0,,,,0,,,,0
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Caches.java",73,2,5,,,,46,,,,5
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\CompressLZF.java",23,5,12,,,,5,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\DB.java",197,2,19,,,,92,,,,14
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\DBMaker.java",87,1,21,,,,61,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\DataInput2.java",18,1,1,,,,18,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\DataOutput2.java",21,1,2,,,,18,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\EncryptionXTEA.java",22,2,8,,,,9,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Engine.java",16,1,1,,,,16,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\EngineWrapper.java",85,1,3,,,,67,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Fun.java",100,3,17,,,,31,,,,17
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\HTreeMap.java",286,3,18,,,,89,,,,10
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\LongConcurrentHashMap.java",127,3,13,,,,44,,,,10
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\LongConcurrentLRUMap.java",91,2,22,,,,44,,,,9
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\LongHashMap.java",58,2,4,,,,33,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\LongMap.java",15,1,3,,,,13,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Pump.java",49,4,17,,,,14,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Queues.java",70,2,7,,,,37,,,,6
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Serializer.java",24,2,3,,,,16,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\SerializerBase.java",503,11,130,,,,47,,,,54
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\SerializerPojo.java",101,3,8,,,,40,,,,8
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Store.java",43,3,13,,,,17,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\StoreAppend.java",77,2,17,,,,31,,,,9
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\StoreDirect.java",138,3,14,,,,42,,,,7
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\StoreHeap.java",36,2,3,,,,24,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\StoreWAL.java",106,4,10,,,,27,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\TxBlock.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\TxEngine.java",81,2,10,,,,34,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\TxMaker.java",11,3,5,,,,4,,,,3
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\TxRollbackException.java",0,0,0,,,,0,,,,0
File,"C:\f1\mapdb-mapdb-0.9.6\src\main\java\org\mapdb\Utils.java",51,2,3,,,,24,,,,3
